image size+1: 785
Enter no of threads:
0.308920 0.203556 0.408502 
old logloss: 0.000002 
start update

Enter iterations for each thread:
Delta Norm = 4.165863
Delta Norm = 2.891012
Delta Norm = 2.055461
Delta Norm = 2.743018
Delta Norm = 2.953734
Delta Norm = 3.255291
Delta Norm = 2.979531
Delta Norm = 3.018906
Delta Norm = 3.232250
Delta Norm = 2.922889
Delta Norm = 3.111699
Delta Norm = 3.834289
Delta Norm = 3.535936
Delta Norm = 4.373065
Delta Norm = 4.340646
Delta Norm = 2.904580
Delta Norm = 3.447915
Delta Norm = 2.923549
Delta Norm = 3.465612
Delta Norm = 2.760999
Delta Norm = 3.695689
Delta Norm = 3.081260
Delta Norm = 3.341403
Delta Norm = 2.457983
Delta Norm = 3.299183
Delta Norm = 3.159001
Delta Norm = 3.043053
Delta Norm = 3.164013
Delta Norm = 3.097218
Delta Norm = 3.139299
Delta Norm = 3.110350
Delta Norm = 3.424828
Delta Norm = 3.509880
Delta Norm = 3.826613
Delta Norm = 2.121211
Delta Norm = 3.584502
Delta Norm = 3.295707
Delta Norm = 3.189572
Delta Norm = 3.050318
Delta Norm = 3.714849
Delta Norm = 3.358983
Delta Norm = 3.395185
Delta Norm = 2.944021
Delta Norm = 3.016807
Delta Norm = 3.778142
Delta Norm = 3.293770
Delta Norm = 3.101474
Delta Norm = 2.525595
Delta Norm = 2.210627
Delta Norm = 3.241912
Delta Norm = 3.509054
Delta Norm = 1.071011
Delta Norm = 3.250905
Delta Norm = 3.391879
Delta Norm = 2.660740
Delta Norm = 2.572544
Delta Norm = 2.982403
Delta Norm = 3.317354
Delta Norm = 3.627841
Delta Norm = 2.339617
Delta Norm = 3.242022
Delta Norm = 2.946450
Delta Norm = 3.939003
Delta Norm = 4.137720
Delta Norm = 2.289623
Delta Norm = 3.477135
Delta Norm = 3.288454
Delta Norm = 2.122173
Delta Norm = 3.961163
Delta Norm = 3.497464
Delta Norm = 2.672201
Delta Norm = 2.923001
Delta Norm = 3.084271
Delta Norm = 3.313022
